topic,url,predicted_class,predicted_scores
Amplified Fragment Length Polymorphism,https://en.wikipedia.org/wiki/Amplified_fragment_length_polymorphism,Start,"{'B': 0.22592733265285653, 'C': 0.361462543239492, 'FA': 0.006173747130955749, 'GA': 0.013927388194304322, 'Start': 0.38509311665880624, 'Stub': 0.00741587212358537}"
Ethanol Fermentation,https://en.wikipedia.org/wiki/Ethanol_fermentation,C,"{'B': 0.20838873359702662, 'C': 0.7297231248832889, 'FA': 0.016776120455729664, 'GA': 0.02616516906625679, 'Start': 0.016073476255688283, 'Stub': 0.002873375742009854}"
Water Purification,https://en.wikipedia.org/wiki/Water_purification,B,"{'B': 0.6820943728048339, 'C': 0.20633737808636635, 'FA': 0.0633987376533918, 'GA': 0.03687339887756051, 'Start': 0.008220480663980697, 'Stub': 0.0030756319138668465}"
Brain Waves,https://en.wikipedia.org/wiki/Neural_oscillation,B,"{'B': 0.3537130879042666, 'C': 0.08771028419652716, 'FA': 0.2535489168399499, 'GA': 0.28680802566492125, 'Start': 0.013238941463546181, 'Stub': 0.004980743930788928}"
Chemical Fertilizer,https://en.wikipedia.org/wiki/Fertilizer,GA,"{'B': 0.09151393015081545, 'C': 0.02698373740356139, 'FA': 0.3636555047111118, 'GA': 0.5048038909084496, 'Start': 0.009425597652306026, 'Stub': 0.0036173391737557947}"
Psychiatric Nursing,https://en.wikipedia.org/wiki/Mental_health_nursing,B,"{'B': 0.5371504799366214, 'C': 0.3546584481501515, 'FA': 0.04663531494712392, 'GA': 0.049096056307470264, 'Start': 0.009001825290360775, 'Stub': 0.0034578753682723315}"
Pain Threshold,https://en.wikipedia.org/wiki/Threshold_of_pain,Start,"{'B': 0.21956196564851524, 'C': 0.34265663182574285, 'FA': 0.007090565545635226, 'GA': 0.05317851395125866, 'Start': 0.3712567182934613, 'Stub': 0.006255604735386777}"
X Ray Diffraction,https://en.wikipedia.org/wiki/X-ray_diffraction,GA,"{'B': 0.21378467206450205, 'C': 0.15715584040025649, 'FA': 0.19917114315343162, 'GA': 0.41337076683285573, 'Start': 0.012261416034904585, 'Stub': 0.004256161514049651}"
Hairy Cell Leukemia,https://en.wikipedia.org/wiki/Hairy_cell_leukemia,B,"{'B': 0.4803563972556098, 'C': 0.19658597119186108, 'FA': 0.183199479133905, 'GA': 0.12247682001063782, 'Start': 0.012515833624551003, 'Stub': 0.004865498783435366}"
Dental Cement,https://en.wikipedia.org/wiki/Dental_cement,C,"{'B': 0.3223789384322744, 'C': 0.5856212590920523, 'FA': 0.010687957057606202, 'GA': 0.015040888881937541, 'Start': 0.060895993264575676, 'Stub': 0.005374963271553826}"
Freudian Theory,https://en.wikipedia.org/wiki/Freud%27s_psychoanalytic_theories,C,"{'B': 0.30993231999626336, 'C': 0.5882910432258757, 'FA': 0.033562276642259296, 'GA': 0.026174850279478502, 'Start': 0.0375830191820103, 'Stub': 0.004456490674112997}"
Family Systems Theory,https://en.wikipedia.org/wiki/Internal_Family_Systems_Model,C,"{'B': 0.2206207772438997, 'C': 0.5252257825150247, 'FA': 0.03441185539967055, 'GA': 0.04043284357916684, 'Start': 0.16886533480349725, 'Stub': 0.010443406458740853}"
Tertiary Prevention,https://en.wikipedia.org/wiki/Preventive_healthcare,B,"{'B': 0.5612776282347769, 'C': 0.20097680397306109, 'FA': 0.1232011317452591, 'GA': 0.09903155523249751, 'Start': 0.011670432245004175, 'Stub': 0.003842448569401307}"
Zeta Potential,https://en.wikipedia.org/wiki/Zeta_potential,C,"{'B': 0.38972582512520504, 'C': 0.4560331563413363, 'FA': 0.042326209773096674, 'GA': 0.08903454974328476, 'Start': 0.017626522501111432, 'Stub': 0.005253736515965864}"
Gastric Lavage,https://en.wikipedia.org/wiki/Gastric_lavage,Start,"{'B': 0.1593111643514409, 'C': 0.3277872993526334, 'FA': 0.0054659983843802044, 'GA': 0.015269374500526662, 'Start': 0.47422019498555285, 'Stub': 0.017945968425466228}"
Phytotoxin,https://en.wikipedia.org/wiki/Phytotoxin,C,"{'B': 0.2979463136244747, 'C': 0.4338471653023725, 'FA': 0.007358814754117142, 'GA': 0.06608018087409376, 'Start': 0.18606843066225714, 'Stub': 0.008699094782684626}"
Enzyme-Linked Immunosorbent Assay,https://en.wikipedia.org/wiki/ELISA,C,"{'B': 0.44906211646719996, 'C': 0.4530448333618382, 'FA': 0.03885768127295317, 'GA': 0.04560117853950411, 'Start': 0.010008151079247794, 'Stub': 0.0034260392792566595}"
Medicinal Plant,https://en.wikipedia.org/wiki/Medicinal_plants,B,"{'B': 0.5192631901127782, 'C': 0.06200392218789872, 'FA': 0.18396230521803095, 'GA': 0.22072621933768, 'Start': 0.010248103586465754, 'Stub': 0.0037962595571464164}"
Reticular Activating System,https://en.wikipedia.org/wiki/Reticular_formation,B,"{'B': 0.3598717065686733, 'C': 0.1575316012338458, 'FA': 0.2969295022929468, 'GA': 0.1656880422272078, 'Start': 0.015322654667640866, 'Stub': 0.004656493009685532}"
Horizontal Gene Transfer,https://en.wikipedia.org/wiki/Horizontal_gene_transfer,B,"{'B': 0.7048527802765867, 'C': 0.13359934963718817, 'FA': 0.04742120581781861, 'GA': 0.09991445698564509, 'Start': 0.010748603058878614, 'Stub': 0.0034636042238827863}"
Endochondral Ossification,https://en.wikipedia.org/wiki/Endochondral_ossification,GA,"{'B': 0.19298420281070558, 'C': 0.10158994896809687, 'FA': 0.009455398636825941, 'GA': 0.6704465840639424, 'Start': 0.021135697260086416, 'Stub': 0.004388168260342882}"
Cerebral Amyloid Angiopathy,https://en.wikipedia.org/wiki/Cerebral_amyloid_angiopathy,GA,"{'B': 0.15788693001775564, 'C': 0.1858109718210327, 'FA': 0.06009831154184079, 'GA': 0.5679467729660802, 'Start': 0.023985628554963185, 'Stub': 0.004271385098327493}"
Hyperintensity,https://en.wikipedia.org/wiki/Hyperintensity,C,"{'B': 0.27949106266194057, 'C': 0.45038009035366694, 'FA': 0.00785178285690617, 'GA': 0.09769343569476024, 'Start': 0.15678510007115495, 'Stub': 0.007798528361570993}"
Enzyme,https://en.wikipedia.org/wiki/Enzyme,FA,"{'B': 0.0291602248866164, 'C': 0.013570716808149903, 'FA': 0.7554596392308425, 'GA': 0.19459192044544696, 'Start': 0.00517449895028167, 'Stub': 0.002042999678662621}"
Essential Tremor,https://en.wikipedia.org/wiki/Essential_tremor,FA,"{'B': 0.04295773675650621, 'C': 0.01729601438886652, 'FA': 0.6753111316008611, 'GA': 0.2555715860822824, 'Start': 0.0063377631241372315, 'Stub': 0.002525768047346492}"
Glycolysis,https://en.wikipedia.org/wiki/Glycolysis,B,"{'B': 0.5292994305565394, 'C': 0.18958622050190302, 'FA': 0.16566170883295353, 'GA': 0.0992540528196936, 'Start': 0.011804004058369474, 'Stub': 0.004394583230540933}"
Neuroethology,https://en.wikipedia.org/wiki/Neuroethology,C,"{'B': 0.3618095337207939, 'C': 0.540403513942225, 'FA': 0.027115152367102255, 'GA': 0.03442776044996676, 'Start': 0.0317424365299865, 'Stub': 0.004501602989925636}"
Psychoanalytic Theory,https://en.wikipedia.org/wiki/Psychoanalytic_theory,C,"{'B': 0.3106008287186873, 'C': 0.5795145206297238, 'FA': 0.013048549355882922, 'GA': 0.03927673345504859, 'Start': 0.05196832953434013, 'Stub': 0.0055910383063173105}"
Nitrogenous Base,https://en.wikipedia.org/wiki/Nucleotide_base,C,"{'B': 0.2447552365847415, 'C': 0.6267675962998102, 'FA': 0.01829889524653674, 'GA': 0.06953004735223056, 'Start': 0.036121450614258706, 'Stub': 0.004526773902422299}"
Cryopreservation,https://en.wikipedia.org/wiki/Cryopreservation,B,"{'B': 0.5769681083230761, 'C': 0.261208158439154, 'FA': 0.06129774563223278, 'GA': 0.08624541682315695, 'Start': 0.010529498525657953, 'Stub': 0.0037510722567221876}"
Melanin-Concentrating Hormone,https://en.wikipedia.org/wiki/Melanin-concentrating_hormone,C,"{'B': 0.3509033372913647, 'C': 0.43136454975424227, 'FA': 0.016903684815186223, 'GA': 0.13920846064277453, 'Start': 0.0541661520427551, 'Stub': 0.007453815453677149}"
Soxhlet Extraction,https://en.wikipedia.org/wiki/Soxhlet_extractor,C,"{'B': 0.148795792051833, 'C': 0.5820191568793541, 'FA': 0.005789001024354432, 'GA': 0.01071393500869635, 'Start': 0.24343365657440139, 'Stub': 0.009248458461360812}"
Pathophysiology of Asthma,https://en.wikipedia.org/wiki/Pathophysiology_of_asthma,FA,"{'B': 0.0788315344891303, 'C': 0.03129748403068653, 'FA': 0.5303054793934856, 'GA': 0.3498707361098477, 'Start': 0.006935677857858878, 'Stub': 0.0027590881189911076}"
Fragment Antigen-Binding,https://en.wikipedia.org/wiki/Fragment_antigen-binding_region,C,"{'B': 0.2390979969359945, 'C': 0.3832154736120817, 'FA': 0.008221595660228623, 'GA': 0.029942247310403212, 'Start': 0.32579643377321754, 'Stub': 0.013726252708074593}"
Food Adulteration,https://en.wikipedia.org/wiki/Adulterant,C,"{'B': 0.19307038949540964, 'C': 0.6802478092992778, 'FA': 0.008206353942051775, 'GA': 0.027400703831331363, 'Start': 0.08724289231571229, 'Stub': 0.00383185111621705}"
Condensed Milk,https://en.wikipedia.org/wiki/Condensed_milk,GA,"{'B': 0.11837955467326712, 'C': 0.13830499810126715, 'FA': 0.07067727003102127, 'GA': 0.6494362992278733, 'Start': 0.01928197265058503, 'Stub': 0.003919905315986188}"
Food Preservative,https://en.wikipedia.org/wiki/Preservative,C,"{'B': 0.2889635810386538, 'C': 0.6157430792009284, 'FA': 0.018616223248545977, 'GA': 0.04440895436512313, 'Start': 0.028033089026182876, 'Stub': 0.004235073120565718}"
Human Nutrition,https://en.wikipedia.org/wiki/Human_nutrition,B,"{'B': 0.5245879168771101, 'C': 0.08716444308751965, 'FA': 0.037494654494946315, 'GA': 0.3416001532647833, 'Start': 0.006634921260178909, 'Stub': 0.0025179110154617823}"
Colorimetry,https://en.wikipedia.org/wiki/Colorimetry,C,"{'B': 0.20782859912492052, 'C': 0.5948355472882506, 'FA': 0.007704798513743675, 'GA': 0.06521577106438299, 'Start': 0.11789909771690862, 'Stub': 0.006516186291793584}"
Polystyrene,https://en.wikipedia.org/wiki/Polystyrene,B,"{'B': 0.4898362729311984, 'C': 0.24759993254619617, 'FA': 0.1323417020516355, 'GA': 0.11340026871466803, 'Start': 0.01270048647859411, 'Stub': 0.004121337277707678}"
Water Filtration,https://en.wikipedia.org/wiki/Water_filter,C,"{'B': 0.2919559638782761, 'C': 0.36991727056079887, 'FA': 0.023000061264303085, 'GA': 0.282650287854287, 'Start': 0.028253488665608728, 'Stub': 0.0042229277767260945}"
Atom-Transfer Radical-Polymerization,https://en.wikipedia.org/wiki/Atom_transfer_radical_polymerization,B,"{'B': 0.46138309882450196, 'C': 0.25221131204271835, 'FA': 0.06149599360534986, 'GA': 0.20562260175452185, 'Start': 0.01475262773478567, 'Stub': 0.004534366038122236}"
Advanced Oxidation Process,https://en.wikipedia.org/wiki/Advanced_oxidation_process,C,"{'B': 0.24704973231321847, 'C': 0.64366519656507, 'FA': 0.027800406820013352, 'GA': 0.05227966711901906, 'Start': 0.024833752584703186, 'Stub': 0.004371244597975879}"
Electronegativity,https://en.wikipedia.org/wiki/Electronegativity,FA,"{'B': 0.2334110431453503, 'C': 0.1422433634789559, 'FA': 0.3576669605042104, 'GA': 0.24852094975507943, 'Start': 0.013283511881253112, 'Stub': 0.004874171235151226}"
Thermal Shock,https://en.wikipedia.org/wiki/Thermal_shock,C,"{'B': 0.21307033362984698, 'C': 0.6721899898868571, 'FA': 0.007199965808717019, 'GA': 0.05599049520142161, 'Start': 0.046980607916894214, 'Stub': 0.0045686075562632565}"
Polar Covalent Bond,https://en.wikipedia.org/wiki/Chemical_polarity,C,"{'B': 0.26884581270823665, 'C': 0.6741693195512752, 'FA': 0.022215172638825394, 'GA': 0.014570934638318687, 'Start': 0.01749771937258865, 'Stub': 0.0027010410907553194}"
First Law of Thermodynamics,https://en.wikipedia.org/wiki/First_law_of_thermodynamics,B,"{'B': 0.3174042224258051, 'C': 0.3100206594637724, 'FA': 0.18489353902389252, 'GA': 0.15534211266614703, 'Start': 0.024136462196523316, 'Stub': 0.008203004223859578}"
Polyunsaturated Fatty Acid,https://en.wikipedia.org/wiki/Polyunsaturated_fat,GA,"{'B': 0.234817019277881, 'C': 0.23905698079565948, 'FA': 0.07510864766096076, 'GA': 0.4288064339275773, 'Start': 0.017728395756488897, 'Stub': 0.004482522581432636}"
Isotopic Fractionation,https://en.wikipedia.org/wiki/Isotope_fractionation,Start,"{'B': 0.044671111321712545, 'C': 0.1502496773339293, 'FA': 0.005614338466199176, 'GA': 0.0108593022556973, 'Start': 0.7104764877298584, 'Stub': 0.07812908289260329}"
Hydrological Cycle,https://en.wikipedia.org/wiki/Water_cycle,C,"{'B': 0.38272104242821864, 'C': 0.5045545309067481, 'FA': 0.03880686803040438, 'GA': 0.0623788362982943, 'Start': 0.008331257314616952, 'Stub': 0.003207465021717782}"
Atmospheric Circulation,https://en.wikipedia.org/wiki/Atmospheric_circulation,C,"{'B': 0.29951853913191473, 'C': 0.49462864635012244, 'FA': 0.09275007405094482, 'GA': 0.0688875773045131, 'Start': 0.03793243804319791, 'Stub': 0.006282725119306835}"
Natural Disaster,https://en.wikipedia.org/wiki/Natural_disaster,B,"{'B': 0.5317888562232199, 'C': 0.2808462608481089, 'FA': 0.0551116109010695, 'GA': 0.12059920555111527, 'Start': 0.008549304365289272, 'Stub': 0.0031047621111972242}"
Epitaxy,https://en.wikipedia.org/wiki/Epitaxy,B,"{'B': 0.40616800434768585, 'C': 0.40368176040141523, 'FA': 0.07600032900191586, 'GA': 0.09969101111079448, 'Start': 0.010240216375575597, 'Stub': 0.004218678762612993}"
Experimental Design,https://en.wikipedia.org/wiki/Design_of_experiments,GA,"{'B': 0.24975155678328326, 'C': 0.13024981953937056, 'FA': 0.25257818581477337, 'GA': 0.3483346003663412, 'Start': 0.013604061670919253, 'Stub': 0.005481775825312299}"
Thermogravimetric Analysis,https://en.wikipedia.org/wiki/Thermogravimetric_analysis,GA,"{'B': 0.23769766006689663, 'C': 0.298315538887453, 'FA': 0.021442912178755286, 'GA': 0.41101499461879126, 'Start': 0.026956936685551224, 'Stub': 0.0045719575625527385}"
Vulcanization,https://en.wikipedia.org/wiki/Vulcanization,C,"{'B': 0.261648904674333, 'C': 0.6181329826275872, 'FA': 0.007701198022322144, 'GA': 0.02762856477844648, 'Start': 0.08070831780711213, 'Stub': 0.004180032090199025}"
Natural Fiber,https://en.wikipedia.org/wiki/Natural_fiber,B,"{'B': 0.45691476358366956, 'C': 0.2941078910628398, 'FA': 0.10887815390066845, 'GA': 0.1254718607340426, 'Start': 0.010687920097771196, 'Stub': 0.003939410621008283}"
Data Structure,https://en.wikipedia.org/wiki/Data_structure,C,"{'B': 0.2691384449802288, 'C': 0.5735006707788761, 'FA': 0.023790884358205363, 'GA': 0.0664298572285757, 'Start': 0.060776170525221405, 'Stub': 0.006363972128892715}"
Simulated Annealing,https://en.wikipedia.org/wiki/Simulated_annealing,C,"{'B': 0.31712916095513616, 'C': 0.5007104595334113, 'FA': 0.08968078541087628, 'GA': 0.06377712579947632, 'Start': 0.023643865312509015, 'Stub': 0.0050586029885911375}"
Pearson Correlation,https://en.wikipedia.org/wiki/Pearson_correlation_coefficient,C,"{'B': 0.3246237099707984, 'C': 0.6170103803231295, 'FA': 0.01979753992656772, 'GA': 0.0282424285319432, 'Start': 0.007929794762654815, 'Stub': 0.0023961464849064714}"
Three-Way Handshake,https://en.wikipedia.org/wiki/Transmission_Control_Protocol,B,"{'B': 0.5107961758196877, 'C': 0.23893003155182002, 'FA': 0.15305525307744597, 'GA': 0.0844595485774061, 'Start': 0.00949524105042715, 'Stub': 0.0032637499232130566}"
Cosine Similarity,https://en.wikipedia.org/wiki/Cosine_similarity,C,"{'B': 0.2595906253211856, 'C': 0.43573598236119654, 'FA': 0.03528999029296194, 'GA': 0.21650101137735123, 'Start': 0.045107635421892965, 'Stub': 0.007774755225411738}"
Coal Gasification,https://en.wikipedia.org/wiki/Coal_gasification,C,"{'B': 0.2998701606966218, 'C': 0.6271344605926372, 'FA': 0.029862728154320593, 'GA': 0.017096196451339835, 'Start': 0.022661938566456694, 'Stub': 0.0033745155386237656}"
Central Processing Unit,https://en.wikipedia.org/wiki/Central_processing_unit,FA,"{'B': 0.14171767491327175, 'C': 0.046747546618262505, 'FA': 0.5793128826019506, 'GA': 0.21627848886670298, 'Start': 0.011741712356772375, 'Stub': 0.004201694643039765}"
Heat Capacity,https://en.wikipedia.org/wiki/Heat_capacity,C,"{'B': 0.2507097989722615, 'C': 0.641983797505846, 'FA': 0.019150810341355903, 'GA': 0.024237658618338983, 'Start': 0.0594755009305484, 'Stub': 0.004442433631649225}"
Multiple Regression Analysis,https://en.wikipedia.org/wiki/Regression_analysis,C,"{'B': 0.3413859308375234, 'C': 0.4047477430773814, 'FA': 0.131636675821186, 'GA': 0.08990681373664351, 'Start': 0.0260555385125492, 'Stub': 0.006267298014716346}"
Poisson Distribution,https://en.wikipedia.org/wiki/Poisson_distribution,C,"{'B': 0.27827936056266717, 'C': 0.5919726252542057, 'FA': 0.060191557346592456, 'GA': 0.05670362703874349, 'Start': 0.009612963113782489, 'Stub': 0.003239866684008835}"
Unit Vector,https://en.wikipedia.org/wiki/Unit_vector,C,"{'B': 0.23818903797118937, 'C': 0.5889865512166517, 'FA': 0.01545021731545789, 'GA': 0.0400366051461658, 'Start': 0.11140164983258852, 'Stub': 0.005935938517946853}"
Cumulative Distribution Function,https://en.wikipedia.org/wiki/Cumulative_distribution_function,C,"{'B': 0.30239316817087797, 'C': 0.6342687738472492, 'FA': 0.018203810000020033, 'GA': 0.02170640510023271, 'Start': 0.020350394279418732, 'Stub': 0.003077448602201302}"
Linearly Dependent,https://en.wikipedia.org/wiki/Linear_independence,C,"{'B': 0.28540805460175594, 'C': 0.5821067749810948, 'FA': 0.025606785164181096, 'GA': 0.01297575744838987, 'Start': 0.08856818832755768, 'Stub': 0.005334439477020472}"
Probability Density Function,https://en.wikipedia.org/wiki/Probability_density_function,C,"{'B': 0.38749797952966264, 'C': 0.4726071686036251, 'FA': 0.06201715682819595, 'GA': 0.0234779571284654, 'Start': 0.04808192466539403, 'Stub': 0.006317813244656744}"
Darcy Law,https://en.wikipedia.org/wiki/Darcy%27s_law,C,"{'B': 0.295092707079628, 'C': 0.5130409273443983, 'FA': 0.05749345370588808, 'GA': 0.09337452743377053, 'Start': 0.03515262473513613, 'Stub': 0.005845759701178841}"
Wave Propagation,https://en.wikipedia.org/wiki/Wave,C,"{'B': 0.3899502104206023, 'C': 0.522893322509543, 'FA': 0.03065084830333389, 'GA': 0.022179210535804822, 'Start': 0.03138922462243818, 'Stub': 0.0029371836082776673}"
Stellar Kinematics,https://en.wikipedia.org/wiki/Stellar_kinematics,FA,"{'B': 0.07046440049950074, 'C': 0.039034801151693464, 'FA': 0.6358485739581633, 'GA': 0.2406417920752473, 'Start': 0.010140681815091094, 'Stub': 0.003869750500304232}"
Quantum Cosmology,https://en.wikipedia.org/wiki/Quantum_cosmology,Start,"{'B': 0.04625009081949462, 'C': 0.17803972481966637, 'FA': 0.004482250964039338, 'GA': 0.011773672221301257, 'Start': 0.6218886339511236, 'Stub': 0.13756562722437488}"
Boltzmann Distribution,https://en.wikipedia.org/wiki/Boltzmann_distribution,GA,"{'B': 0.23564247294977259, 'C': 0.3142916158455315, 'FA': 0.07671538858569894, 'GA': 0.33743235731497717, 'Start': 0.029397459564021122, 'Stub': 0.006520705739998814}"
Behavioral Economics,https://en.wikipedia.org/wiki/Behavioral_economics,B,"{'B': 0.44507952798919953, 'C': 0.17988544063793863, 'FA': 0.11554227047140292, 'GA': 0.2407486304581504, 'Start': 0.013639761487107768, 'Stub': 0.0051043689562009}"
Contingency Theory,https://en.wikipedia.org/wiki/Contingency_theory,C,"{'B': 0.23324117217351867, 'C': 0.6486651323678589, 'FA': 0.012272419712632003, 'GA': 0.023376097431593617, 'Start': 0.076981326071395, 'Stub': 0.00546385224300173}"
Economic Globalization,https://en.wikipedia.org/wiki/Economic_globalization,B,"{'B': 0.727023467237004, 'C': 0.06361013403043561, 'FA': 0.08281250632864781, 'GA': 0.11347762718886462, 'Start': 0.009716159395048688, 'Stub': 0.003360105819999527}"
Self Awareness,https://en.wikipedia.org/wiki/Self-awareness,GA,"{'B': 0.2115375917396265, 'C': 0.08460355177595484, 'FA': 0.21865476284432295, 'GA': 0.4665796196690922, 'Start': 0.013377879371664346, 'Stub': 0.005246594599339103}"
Narcissism,https://en.wikipedia.org/wiki/Narcissism,B,"{'B': 0.5742826687473037, 'C': 0.28909178685530945, 'FA': 0.04398752425088775, 'GA': 0.07470079370965922, 'Start': 0.013396424465561286, 'Stub': 0.004540801971278477}"
Political Ideology,https://en.wikipedia.org/wiki/Ideology,C,"{'B': 0.4280882857127963, 'C': 0.4650153423464334, 'FA': 0.04236284401980475, 'GA': 0.05298701634320769, 'Start': 0.008386153913312157, 'Stub': 0.003160357664445606}"
Criminal Justice System,https://en.wikipedia.org/wiki/Criminal_justice,B,"{'B': 0.488708466399837, 'C': 0.405860628989226, 'FA': 0.049817733661165056, 'GA': 0.038174379439135486, 'Start': 0.014057155622634305, 'Stub': 0.0033816358880021657}"
Social Constructivism,https://en.wikipedia.org/wiki/Social_constructivism,C,"{'B': 0.2845439525320874, 'C': 0.5552353803332817, 'FA': 0.024736426144577064, 'GA': 0.07482252450609968, 'Start': 0.0539991272985841, 'Stub': 0.006662589185370035}"
Structuralism,https://en.wikipedia.org/wiki/Structuralism,B,"{'B': 0.4468802915453844, 'C': 0.3925108424639365, 'FA': 0.07270501865242296, 'GA': 0.04640080059928492, 'Start': 0.03496113265290191, 'Stub': 0.006541914086069368}"
Capital Budgeting,https://en.wikipedia.org/wiki/Capital_budgeting,C,"{'B': 0.22414127005619078, 'C': 0.681622486473535, 'FA': 0.00758603723304572, 'GA': 0.008348300483353189, 'Start': 0.07381842613960894, 'Stub': 0.004483479614266183}"
Imperialism,https://en.wikipedia.org/wiki/Imperialism,B,"{'B': 0.6901783620018024, 'C': 0.05620103492943522, 'FA': 0.1024842654937578, 'GA': 0.14100640437522435, 'Start': 0.00732415752216735, 'Stub': 0.002805775677612889}"
Contract Law,https://en.wikipedia.org/wiki/Contract,B,"{'B': 0.4625216693323483, 'C': 0.2654624909293276, 'FA': 0.09984450667547431, 'GA': 0.1606628205604857, 'Start': 0.00829249011946197, 'Stub': 0.0032160223829019513}"
Modernization Theory,https://en.wikipedia.org/wiki/Modernization_theory,C,"{'B': 0.41337432234283966, 'C': 0.43657343453064945, 'FA': 0.05662842340700428, 'GA': 0.06608017724105288, 'Start': 0.02122567345206596, 'Stub': 0.006117969026387619}"
